                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4032,                 2.5016,                 1.2076,                0.63747,                0.61274,                0.62916,                0.45266,                0.96689,                  1.081,                0.98862,                 0.0829,                 0.0019,                 0.0019
                      1,                0.97458,                 0.9335,                0.97297,                0.89456,                0.81656,                0.87705,                0.65248,                0.91203,                0.86999,                0.94572,               0.064814,              0.0038142,              0.0038142
                      2,                0.93703,                0.79491,                0.95254,                0.92012,                 0.8692,                0.90953,                0.68918,                0.86977,                0.62165,                0.90347,                0.04664,              0.0056404,              0.0056404
                      3,                0.96632,                0.70831,                0.94088,                0.91375,                0.89034,                0.92209,                0.68431,                0.92169,                0.64272,                0.92329,               0.028379,              0.0073786,              0.0073786
                      4,                0.93658,                0.76733,                0.94135,                0.85284,                0.88281,                0.92175,                0.59764,                 1.1477,                    0.8,                 1.0017,               0.010029,              0.0090288,              0.0090288
                      5,                 1.0699,                0.65761,                0.97311,                0.96972,                0.91697,                0.93481,                0.61682,                 1.1245,                0.63249,                0.99538,                 0.0089,                 0.0089,                 0.0089
                      6,                  1.044,                0.58438,                0.97153,                0.95942,                0.92244,                0.94032,                0.72598,                 0.8857,                0.48696,                0.90885,                 0.0089,                 0.0089,                 0.0089
                      7,                0.93574,                0.62814,                0.95472,                0.92774,                0.91542,                 0.9368,                0.71975,                  0.856,                0.48038,                0.90541,                0.00868,                0.00868,                0.00868
                      8,                0.90862,                 0.5995,                0.94529,                0.97006,                0.91759,                0.94092,                0.71366,                0.85784,                0.51944,                0.91426,                0.00846,                0.00846,                0.00846
                      9,                0.91283,                0.58822,                0.94105,                 0.9846,                 0.9223,                0.94014,                0.72244,                0.84184,                0.46945,                0.91099,                0.00824,                0.00824,                0.00824
                     10,                0.86369,                0.60663,                0.92875,                0.98642,                0.91634,                 0.9409,                0.71499,                0.90077,                0.44115,                0.91706,                0.00802,                0.00802,                0.00802
